"","item_id","subj_id","sigma","T_0s","T_1s","SC","category","group","O_0i","RT","zRT","zSC","item_stim","sigma30RT","tau10RT"
"1",1,1,153.732782112298,-15.9614351045257,5.81706667890757,-0.455683449415103,"ingroup",-1,-16.9466882707156,868.053397914219,0.291240849886626,-0.442136800330176,"ingroup",-0.944818450252641,-0.841380371254391
"173",2,1,339.108746566023,-15.9614351045257,5.81706667890757,-0.455683449415103,"ingroup",-1,-83.3272906986877,987.048759939972,0.778453998051485,-0.442136800330176,"ingroup",0.338915941928697,0.0614844342734256
"235",3,1,81.9598643809784,-15.9614351045257,5.81706667890757,-0.455683449415103,"ingroup",-1,-92.2646045815358,720.962563872079,-0.311006053688967,-0.442136800330176,"ingroup",-0.0494149204654571,0.424848771002978
"390",4,1,32.8683853363996,-15.9614351045257,5.81706667890757,-0.455683449415103,"ingroup",-1,25.7225198114996,789.858209220536,-0.0289205699050964,-0.442136800330176,"ingroup",1.38536997659891,2.20683165003813
"414",5,1,-502.729597976946,-15.9614351045257,5.81706667890757,-0.455683449415103,"ingroup",-1,-120.010390076352,108.527316019339,-2.81855340741595,-0.442136800330176,"ingroup",-1.04769104317159,-0.384348541182414
"513",6,1,-72.4515148945318,-15.9614351045257,5.81706667890757,-0.455683449415103,"ingroup",-1,-35.6426608797863,623.173128298318,-0.711393917149106,-0.442136800330176,"ingroup",-0.451187066288499,0.0216998589134799
"688",7,1,-252.709607186833,-15.9614351045257,5.81706667890757,-0.455683449415103,"ingroup",-1,138.723634606007,617.281331491811,-0.735517217600304,-0.442136800330176,"ingroup",-1.22265804692132,-0.792541470490494
"730",8,1,-276.67708144938,-15.9614351045257,5.81706667890757,-0.455683449415103,"ingroup",-1,40.9036492610764,495.493871884333,-1.23416229579687,-0.442136800330176,"ingroup",0.547639036764169,0.68844674081163
"880",9,1,-222.192116975315,-15.9614351045257,5.81706667890757,-0.455683449415103,"ingroup",-1,7.97160292426665,517.046790021588,-1.14591629259954,-0.442136800330176,"ingroup",-0.222756594567235,0.0205532817847406
"932",10,1,-0.397690526740769,-15.9614351045257,5.81706667890757,-0.455683449415103,"ingroup",-1,-4.63128883170157,726.238324714194,-0.289405043321054,-0.442136800330176,"ingroup",-0.0197029326093033,1.28904783499262
"1041",11,1,441.714175953861,-15.9614351045257,5.81706667890757,-0.455683449415103,"ingroup",-1,-139.42301032029,1033.55846970621,0.96888278224677,-0.442136800330176,"ingroup",0.0376234644347067,-0.333790089344758
"1124",12,1,127.239142320013,-15.9614351045257,5.81706667890757,-0.455683449415103,"ingroup",-1,-105.996238655511,752.510207737138,-0.181837768278375,-0.442136800330176,"ingroup",1.06357093697519,0.494868012119809
"1215",13,1,-107.263725621581,-15.9614351045257,5.81706667890757,-0.455683449415103,"ingroup",-1,-43.8347105227959,580.16886792826,-0.887470032408649,-0.442136800330176,"ingroup",-0.37704435916085,0.148704702099197
